一,一,tsit4,tsit4,ts it4,tsit*,ts it*,1
二,兩,nng3,nng3,n nng3,nng*,n nng*,2
三,三,sann7,sann7,s ann7,sann*,s ann*,3
四,四,si2,si2,s i2,si*,s i*,4
五,五,goo3,goo3,g oo3,goo*,g oo*,5
六,六,lak4,lak4,l ak4,lak*,l ak*,6
七,七,tshit8,tshit8,tsh it8,tshit*,tsh it*,7
八,八,peh2,peh2,p eh2,peh*,p eh*,8
九,九,kau2,kau2,k au2,kau*,k au*,9
十,十,tsap4 ,tsap4,ts ap4,tsap*,ts ap*,10
十一,十一,tsap4 i1,tsap4 i1,ts ap4 i1,tsap* i*,ts ap* i*,11
十二,十二,tsap4 ji7,tsap4 ji7,ts ap4 j i7,tsap* ji*,ts ap* j i*,12
十三,十三,tsap4 sann7,tsap4 sann7,ts ap4 s ann7,tsap* sann*,ts ap* s ann*,13
十四,十四,tsap4 si2,tsap4 si2,ts ap4 s i2,tsap* si*,ts ap* s i*,14
十五,十五,tsap4 goo3,tsap4 goo3,ts ap4 g oo3,tsap* goo*,ts ap* g oo*,15
十六,十六,tsap4 lak4,tsap4 lak4,ts ap4 l ak4,tsap* lak*,ts ap* l ak*,16
十七,十七,tsap4 tshit8,tsap4 tshit8,ts ap4 tsh it8,tsap* tshit*,ts ap* tsh it*,17
十八,十八,tsap4 peh2,tsap4 peh2,ts ap4 p eh2,tsap* peh*,ts ap* p eh*,18
十九,十九,tsap4 kau2,tsap4 kau2,ts ap4 k au2,tsap* kau*,ts ap* k au*,19
二十,二十,ji3 tsap4 ,ji3 tsap4,j i3 ts ap4,ji* tsap*,j i* ts ap*,20
二十一,二十一,ji3 tsap4 i1,ji3 tsap4 i1,j i3 ts ap4 i1,ji* tsap* i*,j i* ts ap* i*,21
二十二,二十二,ji3 tsap4 ji7,ji3 tsap4 ji7,j i3 ts ap4 j i7,ji* tsap* ji*,j i* ts ap* j i*,22
二十三,二十三,ji3 tsap4 sann7,ji3 tsap4 sann7,j i3 ts ap4 s ann7,ji* tsap* sann*,j i* ts ap* s ann*,23
二十四,二十四,ji3 tsap4 si2,ji3 tsap4 si2,j i3 ts ap4 s i2,ji* tsap* si*,j i* ts ap* s i*,24
二十五,二十五,ji3 tsap4 goo3,ji3 tsap4 goo3,j i3 ts ap4 g oo3,ji* tsap* goo*,j i* ts ap* g oo*,25
二十六,二十六,ji3 tsap4 lak4,ji3 tsap4 lak4,j i3 ts ap4 l ak4,ji* tsap* lak*,j i* ts ap* l ak*,26
二十七,二十七,ji3 tsap4 tshit8,ji3 tsap4 tshit8,j i3 ts ap4 tsh it8,ji* tsap* tshit*,j i* ts ap* tsh it*,27
