基隆,基隆,Ke-lâng,ke1 lang5,k e1 l ang5,ke* lang*,k e* l ang*
三坑,三坑,Sam-khenn,sam1 khenn1,s am1 kh enn1,sam* khenn*,s am* kh enn*
八堵,八堵,Peh-tóo,peh4 too2,p eh4 t oo2,peh* too*,p eh* t oo*
七堵,七堵,Tshit-tóo,tshit4 too2,tsh it4 t oo2,tshit* too*,tsh it* t oo*
百福,百福,Pah-hok,pah4 hok4,p ah4 h ok4,pah* hok*,p ah* h ok*
五堵,五堵,Gōo-tóo,goo7 too2,g oo7 t oo2,goo* too*,g oo* t oo*
汐止,汐止,Si̍p-tsí,sip8 tsi2,s ip8 ts i2,sip* tsi*,s ip* ts i*
汐科,汐科,Si̍k-kho,sik8 kho1,s ik8 kh o1,sik* kho*,s ik* kh o*
南港,南港,Lâm-káng,lam5 kang2,l am5 k ang2,lam* kang*,l am* k ang*
松山,松山,Siông-san,siong5 san1,s iong5 s an1,siong* san*,s iong* s an*
臺北,臺北,Tâi-pak,tai5 pak4,t ai5 p ak4,tai* pak*,t ai* p ak*
萬華,萬華,Báng-kah,bang2 kah4,b ang2 k ah4,bang* kah*,b ang* k ah*
板橋,枋橋,Pang-kiô,pang1 kio5,p ang1 k io5,pang* kio*,p ang* k io*
浮洲,浮洲,phû-tsiu,phu5 tsiu1,ph u5 ts iu1,phu* tsiu*,ph u* ts iu*
樹林,樹林仔,Tshiū-nâ-á,tshiu7 na5 a2,tsh iu7 n a5 a2,tshiu* na* a*,tsh iu* n a* a*
南樹林,南樹林,lâm-tshiū-nâ,lam5 tshiu7 na5,l am5 tsh iu7 n a5,lam* tshiu* na*,l am* tsh iu* n a*
山佳,山佳,Suann-kha,suann1 kha1,s uann1 kh a1,suann* kha*,s uann* kh a*
鶯歌,鶯歌,Ing-ko,ing1 ko1,ing1 k o1,ing* ko*,ing* k o*
桃園,桃園,Thô-hn̂g,tho5 hng5,th o5 h ng5,tho* hng*,th o* h ng*
內壢,內壢,Lāi-li̍k,lai7 lik8,l ai7 l ik8,lai* lik*,l ai* l ik*
中壢,中壢,Tiong-li̍k,tiong1 lik8,t iong1 l ik8,tiong* lik*,t iong* l ik*
埔心,埔心,Poo-sim,poo1 sim1,p oo1 s im1,poo* sim*,p oo* s im*
楊梅,楊梅,Iûnn-muî,iunn5 mui5,iunn5 m ui5,iunn* mui*,iunn* m ui*
富岡,富岡,Hù-kong,hu3 kong1,h u3 k ong1,hu* kong*,h u* k ong*
新富,新富,Sin-hù,sin1 hu3,s in1 h u3,sin* hu*,s in* h u*
北湖,北湖,Pak-ôo,pak4 oo5,p ak4 oo5,pak* oo*,p ak* oo*
湖口,湖口,Ôo-kháu,oo5 khau2,oo5 kh au2,oo* khau*,oo* kh au*
新豐,新豐,Sin-hong,sin1 hong1,s in1 h ong1,sin* hong*,s in* h ong*
竹北,竹北,Tik-pak,tik4 pak4,t ik4 p ak4,tik* pak*,t ik* p ak*
北新竹,北新竹,pak-sin-tik,pak4 sin1 tik4,p ak4 s in1 t ik4,pak* sin* tik*,p ak* s in* t ik*
新竹,新竹,Sin-tik,sin1 tik4,s in1 t ik4,sin* tik*,s in* t ik*
三姓橋,三姓橋,Sam-sìng-kiô,sam1 sing3 kio5,s am1 s ing3 k io5,sam* sing* kio*,s am* s ing* k io*
